n_clusters,n_dims,n_samples,algorithm,param,std_error
3,8,400000,rpkm,5,-1.1769044002635908e-05
3,8,400000,rpkm,6,-3.3316374871645956e-06
3,8,1200000,rpkm,1,-1.0309870978742037
3,8,1200000,rpkm,2,-0.5095178721279445
3,8,1200000,rpkm,3,-0.29026642851388756
3,8,1200000,rpkm,4,-0.0002609197822111886
3,8,1200000,rpkm,5,-1.5645504056915124e-05
3,8,1200000,rpkm,6,-3.0918906811554284e-06
3,8,4000000,rpkm,1,-1.0244257355692277
3,8,4000000,rpkm,2,-0.2793103195064904
3,8,4000000,rpkm,3,-0.08370943039170696
3,8,4000000,rpkm,4,-0.0005051516170543242
3,8,4000000,rpkm,5,-1.7790603880586677e-05
3,8,4000000,rpkm,6,-9.077790427623222e-06
9,2,4000,rpkm,1,-0.4774096282132332
9,2,4000,rpkm,2,-0.24241690821281692
9,2,4000,rpkm,3,-0.10977421731598247
9,2,4000,rpkm,4,-0.06159344097271659
9,2,4000,rpkm,5,-0.008477498521461381
9,2,4000,rpkm,6,-0.00019552215839244266
9,2,12000,rpkm,1,-0.4296891074322004
9,2,12000,rpkm,2,-0.16129474456607645
9,2,12000,rpkm,3,-0.10845193618122524
9,2,12000,rpkm,4,-0.018125294600585696
9,2,12000,rpkm,5,-0.06640196484308894
9,2,12000,rpkm,6,-0.00020068201356049343
9,2,40000,rpkm,1,-0.47829666467311505
9,2,40000,rpkm,2,-0.3324532546966438
9,2,40000,rpkm,3,-0.2014047626413516
9,2,40000,rpkm,4,-0.0794454175450225
9,2,40000,rpkm,5,-0.0552676399266767
9,2,40000,rpkm,6,-0.053960120728603435
9,2,120000,rpkm,1,-0.48667950148638645
9,2,120000,rpkm,2,-0.35503431511850697
9,2,120000,rpkm,3,-0.24478236226352612
9,2,120000,rpkm,4,-0.11815106420767636
9,2,120000,rpkm,5,-0.05700511890623411
9,2,120000,rpkm,6,-0.0016089428241834003
9,2,400000,rpkm,1,-0.5445239270659019
9,2,400000,rpkm,2,-0.41183983423794013
9,2,400000,rpkm,3,-0.29855350424485344
9,2,400000,rpkm,4,-0.16910571297240584
9,2,400000,rpkm,5,-0.09841547284769227
9,2,400000,rpkm,6,-0.008492297459601676
9,2,1200000,rpkm,1,-0.4656686013711873
9,2,1200000,rpkm,2,-0.31695579499691445
9,2,1200000,rpkm,3,-0.2912873490298623
9,2,1200000,rpkm,4,-0.12270151497838425
9,2,1200000,rpkm,5,-0.010587684387233827
9,2,1200000,rpkm,6,-0.008809436785672208
9,2,4000000,rpkm,1,-0.4625466711289983
9,2,4000000,rpkm,2,-0.3203199020417244
9,2,4000000,rpkm,3,-0.19196508587437788
9,2,4000000,rpkm,4,-0.13228175453525726
9,2,4000000,rpkm,5,-0.02387501309325958
9,2,4000000,rpkm,6,-0.0009478065268833661
9,4,4000,rpkm,1,-0.8240136414817213
