n_clusters,n_dims,n_samples,algorithm,param,instance_ratio
9,4,10000.0,rpkm,3,0.0619
9,4,10000.0,rpkm,4,0.2545
9,4,10000.0,rpkm,5,0.7899
9,4,10000.0,rpkm,6,0.9672
9,4,100000.0,rpkm,1,0.00013
9,4,100000.0,rpkm,2,0.00031
9,4,100000.0,rpkm,3,0.00577
9,4,100000.0,rpkm,4,0.04602
9,4,100000.0,rpkm,5,0.29885
9,4,100000.0,rpkm,6,0.84664
9,4,1000000.0,rpkm,1,1.6e-05
9,4,1000000.0,rpkm,2,0.00014
9,4,1000000.0,rpkm,3,0.000698
9,4,1000000.0,rpkm,4,0.007921
9,4,1000000.0,rpkm,5,0.065572
9,4,1000000.0,rpkm,6,0.369487
9,8,100.0,rpkm,1,0.57
9,8,100.0,rpkm,2,0.9
9,8,100.0,rpkm,3,1.0
9,8,100.0,rpkm,4,1.0
9,8,100.0,rpkm,5,1.0
9,8,100.0,rpkm,6,1.0
9,8,1000.0,rpkm,1,0.136
9,8,1000.0,rpkm,2,0.651
9,8,1000.0,rpkm,3,0.991
9,8,1000.0,rpkm,4,1.0
9,8,1000.0,rpkm,5,1.0
9,8,1000.0,rpkm,6,1.0
9,8,10000.0,rpkm,1,0.0187
9,8,10000.0,rpkm,2,0.1503
9,8,10000.0,rpkm,3,0.8868
9,8,10000.0,rpkm,4,0.9955
9,8,10000.0,rpkm,5,1.0
9,8,10000.0,rpkm,6,1.0
9,8,100000.0,rpkm,1,0.00182
9,8,100000.0,rpkm,2,0.03329
9,8,100000.0,rpkm,3,0.29069
9,8,100000.0,rpkm,4,0.97703
9,8,100000.0,rpkm,5,0.99977
9,8,100000.0,rpkm,6,1.0
9,8,1000000.0,rpkm,1,0.000256
9,8,1000000.0,rpkm,2,0.005503
9,8,1000000.0,rpkm,3,0.075229
9,8,1000000.0,rpkm,4,0.59432
9,8,1000000.0,rpkm,5,0.995273
9,8,1000000.0,rpkm,6,0.999988
