n_clusters,n_dims,n_samples,algorithm,param,instance_ratio
9,2,40000,rpkm,5,0.028665000000000003
9,2,40000,rpkm,6,0.08241000000000001
9,2,120000,rpkm,1,0.00010833333333333333
9,2,120000,rpkm,2,0.0003191666666666667
9,2,120000,rpkm,3,0.000995
9,2,120000,rpkm,4,0.0032375
9,2,120000,rpkm,5,0.0107325
9,2,120000,rpkm,6,0.0342625
9,2,400000,rpkm,1,3.2749999999999996e-05
9,2,400000,rpkm,2,9.675000000000001e-05
9,2,400000,rpkm,3,0.00030625
9,2,400000,rpkm,4,0.0010155
9,2,400000,rpkm,5,0.00346775
9,2,400000,rpkm,6,0.01180875
9,2,1200000,rpkm,1,1.1249999999999999e-05
9,2,1200000,rpkm,2,3.258333333333334e-05
9,2,1200000,rpkm,3,0.00010325
9,2,1200000,rpkm,4,0.00034541666666666667
9,2,1200000,rpkm,5,0.0012053333333333332
9,2,1200000,rpkm,6,0.004239666666666667
9,2,4000000,rpkm,1,3.675e-06
9,2,4000000,rpkm,2,1.0124999999999999e-05
9,2,4000000,rpkm,3,3.1475e-05
9,2,4000000,rpkm,4,0.000105075
9,2,4000000,rpkm,5,0.00037247500000000004
9,2,4000000,rpkm,6,0.0013391750000000002
9,4,4000,rpkm,1,0.00485
9,4,4000,rpkm,2,0.0184
9,4,4000,rpkm,3,0.0628
9,4,4000,rpkm,4,0.17522500000000002
9,4,4000,rpkm,5,0.3791
9,4,4000,rpkm,6,0.623325
9,4,12000,rpkm,1,0.0012916666666666667
9,4,12000,rpkm,2,0.005366666666666667
9,4,12000,rpkm,3,0.019950000000000002
9,4,12000,rpkm,4,0.07175000000000001
9,4,12000,rpkm,5,0.207725
9,4,12000,rpkm,6,0.4322666666666667
9,4,40000,rpkm,1,0.0002775
9,4,40000,rpkm,2,0.0013275000000000001
9,4,40000,rpkm,3,0.0052825
9,4,40000,rpkm,4,0.0207525
9,4,40000,rpkm,5,0.07592750000000001
9,4,40000,rpkm,6,0.2204
9,4,120000,rpkm,1,0.0001
9,4,120000,rpkm,2,0.00047083333333333336
