n_clusters,n_dims,n_samples,algorithm,param,std_error
3,8,10000.0,rpkm,2,-0.0009641206839359385
3,8,10000.0,rpkm,3,-5.577889667086187e-06
3,8,10000.0,rpkm,4,-1.778101945319365e-07
3,8,10000.0,rpkm,5,-1.7781019454767042e-07
3,8,10000.0,rpkm,6,-1.778101945611683e-07
3,8,100000.0,rpkm,1,-0.03082891646789595
3,8,100000.0,rpkm,2,-0.027571097280701305
3,8,100000.0,rpkm,3,-2.2006424922903608e-05
3,8,100000.0,rpkm,4,-5.98126463854453e-08
3,8,100000.0,rpkm,5,-5.219946233200751e-09
3,8,100000.0,rpkm,6,-4.691234522579308e-09
3,8,1000000.0,rpkm,1,-0.03168036810137786
3,8,1000000.0,rpkm,2,-0.029018779928143286
3,8,1000000.0,rpkm,3,-5.506965084260339e-05
3,8,1000000.0,rpkm,4,-2.299723485563532e-07
3,8,1000000.0,rpkm,5,-4.097041890103916e-09
3,8,1000000.0,rpkm,6,-3.315312153483668e-10
9,2,100.0,rpkm,1,-1.4437705731785555
9,2,100.0,rpkm,2,-0.8219706220504428
9,2,100.0,rpkm,3,-0.7855368887816566
9,2,100.0,rpkm,4,-0.7833422426009408
9,2,100.0,rpkm,5,-0.7820508555826207
9,2,100.0,rpkm,6,-0.7820258837897188
9,2,1000.0,rpkm,1,-1.6646633860851225
9,2,1000.0,rpkm,2,-0.10652295033527619
9,2,1000.0,rpkm,3,-0.03335934375720083
9,2,1000.0,rpkm,4,-0.008723071120262134
9,2,1000.0,rpkm,5,-0.005630369739155021
9,2,1000.0,rpkm,6,-0.005511424459921912
9,2,10000.0,rpkm,1,-0.4162017657462062
9,2,10000.0,rpkm,2,-0.09697045721284718
9,2,10000.0,rpkm,3,-0.019702026075804294
9,2,10000.0,rpkm,4,-0.010018876637757312
9,2,10000.0,rpkm,5,-0.007697913435861507
9,2,10000.0,rpkm,6,-0.007387638735662244
9,2,100000.0,rpkm,1,-0.7166793278036028
9,2,100000.0,rpkm,2,-0.2318829676763469
9,2,100000.0,rpkm,3,-0.016733290395272
9,2,100000.0,rpkm,4,-0.011517937897384027
9,2,100000.0,rpkm,5,-0.010137460081958625
9,2,100000.0,rpkm,6,-0.009624128578221484
9,2,1000000.0,rpkm,1,-1.2937401361350038
9,2,1000000.0,rpkm,2,-1.0359225287315688
9,2,1000000.0,rpkm,3,-0.1686237797574583
9,2,1000000.0,rpkm,4,-0.03159244911542749
9,2,1000000.0,rpkm,5,-0.01373098263903566
9,2,1000000.0,rpkm,6,-0.012690866734961042
9,4,100.0,rpkm,1,-0.3069204736575657
9,4,100.0,rpkm,2,-0.060183321967227275
9,4,100.0,rpkm,3,-0.0477326315133363
9,4,100.0,rpkm,4,-9.210609399261544e-05
9,4,100.0,rpkm,5,-9.210609399261544e-05
9,4,100.0,rpkm,6,-9.210609399261544e-05
9,4,1000.0,rpkm,1,-0.6562970491627911
9,4,1000.0,rpkm,2,-0.2962988130017735
9,4,1000.0,rpkm,3,-0.09812095670412488
9,4,1000.0,rpkm,4,-0.0009172584496935936
9,4,1000.0,rpkm,5,-3.8155756858228274e-05
9,4,1000.0,rpkm,6,-9.264595540650193e-07
9,4,10000.0,rpkm,1,-0.6659171359892173
9,4,10000.0,rpkm,2,-0.3538934581336164
9,4,10000.0,rpkm,3,-0.15723309504167168
9,4,10000.0,rpkm,4,-0.08922071100229462
9,4,10000.0,rpkm,5,-9.697251178775751e-05
9,4,10000.0,rpkm,6,-1.030237583233243e-05
9,4,100000.0,rpkm,1,-0.6802594289997577
9,4,100000.0,rpkm,2,-0.23141102358328586
9,4,100000.0,rpkm,3,-0.16026356574753126
9,4,100000.0,rpkm,4,-0.09321680518993437
9,4,100000.0,rpkm,5,-0.00048327293588480626
9,4,100000.0,rpkm,6,-0.00024203163206216847
9,4,1000000.0,rpkm,1,-0.675938972702272
9,4,1000000.0,rpkm,2,-0.3614307224507589
9,4,1000000.0,rpkm,3,-0.107063652491542
9,4,1000000.0,rpkm,4,-0.0717581301090883
9,4,1000000.0,rpkm,5,-0.00033845441791031434
9,4,1000000.0,rpkm,6,-3.8560933092971186e-05
9,6,100.0,rpkm,1,-0.13059017822886423
9,6,100.0,rpkm,2,-0.03915423135743371
9,6,100.0,rpkm,3,-0.00033000005991998564
9,6,100.0,rpkm,4,-0.00033000005991998564
9,6,100.0,rpkm,5,-0.00033000005991998564
9,6,100.0,rpkm,6,-0.00033000005991998564
9,6,1000.0,rpkm,1,-0.2744669981525572
9,6,1000.0,rpkm,2,-0.12969656859440656
9,6,1000.0,rpkm,3,-0.00032592302674643275
9,6,1000.0,rpkm,4,2.0601527240156608e-17
9,6,1000.0,rpkm,5,2.0601527240156608e-17
9,6,1000.0,rpkm,6,0.0
9,6,10000.0,rpkm,1,-0.3932129385945681
9,6,10000.0,rpkm,2,-0.24104421029255163
9,6,10000.0,rpkm,3,-0.1951616696079908
9,6,10000.0,rpkm,4,-3.220686285706911e-05
9,6,10000.0,rpkm,5,-8.890989500937989e-06
9,6,10000.0,rpkm,6,-7.462868552005811e-06
