n_clusters,n_dims,n_samples,algorithm,param,silhouette,calinski_harabasz,davies_bouldin
3,2,100.0,k-means++,None,0.587470045471427,836.7266548091557,0.5980009560576216
3,2,100.0,mb-kmeans,100.0,0.5952176784424396,905.6630126750399,0.5739929646553321
3,2,100.0,mb-kmeans,500.0,0.5952176784424396,905.6630126750399,0.5739929646553321
3,2,100.0,mb-kmeans,1000.0,0.5952176784424396,905.6630126750399,0.5739929646553321
3,2,100.0,rpkm,1.0,0.5178735980807319,562.517467349823,0.7050020898986041
3,2,100.0,rpkm,2.0,0.5316550145557818,571.3319523152837,0.6855638740106264
3,2,100.0,rpkm,3.0,0.5519001456902736,586.6873657972803,0.6634937801164371
3,2,100.0,rpkm,4.0,0.567557155304808,594.7121119402757,0.6566959577615535
3,2,100.0,rpkm,5.0,0.5728438661122369,595.3634178791586,0.6532369826190385
3,2,100.0,rpkm,6.0,0.5724904434573155,595.578768672983,0.6550320377697312
3,2,1000.0,k-means++,None,0.6110340957714213,6806.855433887926,0.5862102234847597
3,2,1000.0,mb-kmeans,100.0,0.6036377579614314,9084.478121364391,0.5664399394739255
3,2,1000.0,mb-kmeans,500.0,0.5957104856906098,8740.330463590813,0.6016202480585983
3,2,1000.0,mb-kmeans,1000.0,0.5957108553480324,8740.673128338882,0.601586972902389
3,2,1000.0,rpkm,1.0,0.46726967936328573,5032.630840710883,0.7550111909950866
3,2,1000.0,rpkm,2.0,0.48387842770565265,5368.2931276926765,0.7409934503639815
3,2,1000.0,rpkm,3.0,0.5997604067441934,6423.865484422606,0.6325075773301376
3,2,1000.0,rpkm,4.0,0.6021905775249717,6433.595556406135,0.6217234330671656
3,2,1000.0,rpkm,5.0,0.6031440583990026,6457.871449178225,0.6205390186355858
3,2,1000.0,rpkm,6.0,0.6031272346718939,6457.906636870944,0.6204178722769967
3,2,10000.0,k-means++,None,0.6063399637982292,90887.59950586279,0.560935517086844
3,2,10000.0,mb-kmeans,100.0,0.6051978646104064,90777.91063606832,0.5614409792662656
3,2,10000.0,mb-kmeans,500.0,0.6063263552527186,90867.7731936158,0.5606161990012593
3,2,10000.0,mb-kmeans,1000.0,0.6062711461887564,90884.3017437154,0.5611988903030559
3,2,10000.0,rpkm,1.0,0.48242302437853324,52582.981164235294,0.7749943835872203
3,2,10000.0,rpkm,2.0,0.4894561154596115,53565.57957325234,0.7678856426735906
3,2,10000.0,rpkm,3.0,0.5948753710769601,62655.37407030778,0.6568515031362608
3,2,10000.0,rpkm,4.0,0.5949908716094965,62713.27862432811,0.6575067872152853
3,2,10000.0,rpkm,5.0,0.5946719676323715,62739.63563349856,0.6647483032513225
3,2,10000.0,rpkm,6.0,0.6045647950127253,64664.46320754951,0.6215733725530216
3,4,100.0,k-means++,None,0.4127289138463258,121.6800006740463,0.9849013173986858
3,4,100.0,mb-kmeans,100.0,0.4269846416695481,130.86887574254416,0.9262323115262812
3,4,100.0,mb-kmeans,500.0,0.4269846416695481,130.86887574254416,0.9262323115262812
