,1.0,2.0,3.0,4.0,5.0,6.0
silhouette,0.023582535798743937,0.016551438603828073,0.009967668452634304,0.009023661969282178,0.008548421989861547,0.008372575186609683
calinski_harabasz,0.17102433726148097,0.14225060409933063,0.1233625316797645,0.11607884835741923,0.11214326258000797,0.1111917978640882
davies_bouldin,0.10451889274855347,0.08441298084944733,0.06871094689531451,0.06704995252483487,0.06610470175337707,0.06415682791551103
